web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1","https://sn.coinafrique.com/categorie/vetements-enfants","Djialap pour enfant de 4ans jusqua 18ans","6 500CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg"
"1739917822-2","https://sn.coinafrique.com/categorie/vetements-enfants","Dialabé enfant","10 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg"
"1739917822-3","https://sn.coinafrique.com/categorie/vetements-enfants","Veste doudoune","2 500CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5187259_uploaded_image1_1739637530.jpg"
"1739917822-4","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble mardi gras","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg"
"1739917822-5","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant de 1ans jusqua 15ans","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg"
"1739917822-6","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","1 000CFA","Sicap foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg"
"1739917822-7","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg"
"1739917822-8","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5129146_uploaded_image1_1736533355.jpg"
"1739917822-9","https://sn.coinafrique.com/categorie/vetements-enfants","Genouillère anti-dérapante en coton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5120586_uploaded_image1_1736107643.jpg"
"1739917822-10","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant","8 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg"
"1739917822-11","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg"
"1739917822-12","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5106673_uploaded_image1_1735128585.jpg"
"1739917822-13","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5106669_uploaded_image1_1735128475.jpg"
"1739917822-14","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5106661_uploaded_image1_1735128299.jpg"
"1739917822-15","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfant","8 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg"
"1739917822-16","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 100% coton 3 ans 9ans","8 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg"
"1739917822-17","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson  pour enfants 3ans à 10ans","8 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg"
"1739917822-18","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson coton pour enfants de 1ans 8ans","8 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg"
"1739917822-19","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 4ans à 15ans","8 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg"
"1739917822-20","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants de 4ans à 12ans","8 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg"
"1739917822-21","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 1ans 5 ans","5 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg"
"1739917822-22","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 3 ans à 8 ans","8 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg"
"1739917822-23","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Pul Enfants","18 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg"
"1739917822-24","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble costumes enfants","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg"
"1739917822-25","https://sn.coinafrique.com/categorie/vetements-enfants","robe princesse 10ans","6 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5079189_uploaded_image1_1733486786.jpg"
"1739917822-26","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant cotton","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg"
"1739917822-27","https://sn.coinafrique.com/categorie/vetements-enfants","Maillots enfants sénégal","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg"
"1739917822-28","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon pour enfant 14ans 15ans","4 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg"
"1739917822-29","https://sn.coinafrique.com/categorie/vetements-enfants","Lot pyjamas enfant 6/8 ans","11 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg"
"1739917822-30","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble veste garçon 5 pièces","28 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg"
"1739917822-31","https://sn.coinafrique.com/categorie/vetements-enfants","Costume enfant","28 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg"
"1739917822-32","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements   pour enfant","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg"
"1739917822-33","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg"
"1739917822-34","https://sn.coinafrique.com/categorie/vetements-enfants","Robes de fête","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5002636_uploaded_image1_1729418520.jpg"
"1739917822-35","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant 0ans jusqua 15ans","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg"
"1739917822-36","https://sn.coinafrique.com/categorie/vetements-enfants","Jeans enfants","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4991997_uploaded_image1_1728856374.jpg"
"1739917822-37","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon enfants","6 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg"
"1739917822-38","https://sn.coinafrique.com/categorie/vetements-enfants","Vetement enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4931868_uploaded_image1_1725656850.jpg"
"1739917822-39","https://sn.coinafrique.com/categorie/vetements-enfants","Veste Jacadi","12 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg"
"1739917822-40","https://sn.coinafrique.com/categorie/vetements-enfants","Veste Softshell","14 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg"
"1739917822-41","https://sn.coinafrique.com/categorie/vetements-enfants","Peignoirs enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4866825_uploaded_image1_1722295875.jpg"
"1739917822-42","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","12 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4910319_uploaded_image1_1724580054.jpg"
"1739917822-43","https://sn.coinafrique.com/categorie/vetements-enfants","Serviette de bain pour bébé","4 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg"
"1739917822-44","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère bébé de 0- 24 mois","1 500CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg"
"1739917822-45","https://sn.coinafrique.com/categorie/vetements-enfants","Body pour bébé de 0-24mois","750CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4877371_uploaded_image1_1722813872.jpg"
"1739917822-46","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour fille","4 500CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4886076_uploaded_image1_1723220872.jpg"
"1739917822-47","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fille","22 800CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885783_uploaded_image1_1723209095.jpg"
"1739917822-48","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements de garçon","2 500CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885328_uploaded_image1_1723192813.jpg"
"1739917822-49","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour garçon","4 500CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg"
"1739917822-50","https://sn.coinafrique.com/categorie/vetements-enfants","Pyjama enfant en coton","2 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4882618_uploaded_image1_1723046965.jpg"
"1739917822-51","https://sn.coinafrique.com/categorie/vetements-enfants","Cuissards","210CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4881948_uploaded_image1_1723028512.jpg"
"1739917822-52","https://sn.coinafrique.com/categorie/vetements-enfants","Slips pour enfants","7 500CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4811384_uploaded_image1_1719393861.jpg"
"1739917822-53","https://sn.coinafrique.com/categorie/vetements-enfants","Robe princesse","17 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4804290_uploaded_image1_1718982555.jpg"
"1739917822-54","https://sn.coinafrique.com/categorie/vetements-enfants","Robes princesse","17 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4804282_uploaded_image1_1718982396.jpg"
"1739917822-55","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 3  pièces","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4788092_uploaded_image1_1717977175.jpg"
"1739917822-56","https://sn.coinafrique.com/categorie/vetements-enfants","Robe brodé","10 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4787486_uploaded_image1_1717947693.jpg"
"1739917822-57","https://sn.coinafrique.com/categorie/vetements-enfants","Couverture bébé","4 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4782346_uploaded_image1_1717666928.jpg"
"1739917822-58","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","9 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg"
"1739917822-59","https://sn.coinafrique.com/categorie/vetements-enfants","Robe anniversaire ou cérémonie","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775997_uploaded_image1_1717372054.jpg"
"1739917822-60","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour anniversaire ou cérémonie","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775993_uploaded_image1_1717371915.jpg"
"1739917822-61","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 5 pieces","6 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775968_uploaded_image1_1717370720.jpg"
"1739917822-62","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère 0 - 9 mois","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775960_uploaded_image1_1717370364.jpg"
"1739917822-63","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas large fille 10 - 14 ans","12 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775932_uploaded_image1_1717369632.jpg"
"1739917822-64","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble coton fille","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775892_uploaded_image1_1717367975.jpg"
"1739917822-65","https://sn.coinafrique.com/categorie/vetements-enfants","Robe brodé","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775889_uploaded_image1_1717367795.jpg"
"1739917822-66","https://sn.coinafrique.com/categorie/vetements-enfants","Robe en coton 9 - 24 mois","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775887_uploaded_image1_1717367631.jpg"
"1739917822-67","https://sn.coinafrique.com/categorie/vetements-enfants","Robe coton fille 2 - 5 ans","6 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg"
"1739917822-68","https://sn.coinafrique.com/categorie/vetements-enfants","Robes brodé","10 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775869_uploaded_image1_1717366678.jpg"
"1739917822-69","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775865_uploaded_image1_1717366540.jpg"
"1739917822-70","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas","5 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775846_uploaded_image2_1717365985.jpeg"
"1739917822-71","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4783648_uploaded_image1_1717719693.jpg"
"1739917822-72","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","5 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4730553_uploaded_image1_1715080309.jpg"
"1739917822-73","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","8 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4770789_uploaded_image1_1717088821.jpg"
"1739917822-74","https://sn.coinafrique.com/categorie/vetements-enfants","Slip enfant","2 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4766856_uploaded_image1_1716912176.jpg"
"1739917822-75","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4750299_uploaded_image1_1716034798.jpg"
"1739917822-76","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4743643_uploaded_image1_1715718710.jpg"
"1739917822-77","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4683616_uploaded_image1_1712666779.jpg"
"1739917822-78","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","15 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4682806_uploaded_image1_1712615672.jpg"
"1739917822-79","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","10 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4682804_uploaded_image1_1712615617.jpg"
"1739917822-80","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","12 500CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4682799_uploaded_image1_1712615352.jpg"
"1739917822-81","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 3 pièces enfants","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4669732_uploaded_image1_1711987098.jpg"
"1739917822-82","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4669723_uploaded_image1_1711986941.jpg"
"1739917822-83","https://sn.coinafrique.com/categorie/vetements-enfants","Slips pour enfants 2 - 8 ans","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4668016_uploaded_image1_1711892538.jpg"
"1739917822-84","https://sn.coinafrique.com/categorie/vetements-enfants","Vetement  enfants","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667484_uploaded_image1_1711840999.jpg"
"1739917822-85","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","6 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4666224_uploaded_image1_1711745782.jpg"
"1739917822-86","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble petit garçon","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4709506_uploaded_image1_1713995931.jpg"
"1739917822-87","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble crop top","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4709483_uploaded_image1_1713995121.jpg"
"1739917822-88","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble maillot de bain","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4709459_uploaded_image1_1713994419.jpg"
"1739917822-89","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","10 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667155_uploaded_image1_1711816360.jpg"
"1739917822-90","https://sn.coinafrique.com/categorie/vetements-enfants","Robes en basin enfants","10 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667140_uploaded_image1_1711815203.jpg"
"1739917822-91","https://sn.coinafrique.com/categorie/vetements-enfants","Robes basine et brodé enfant","10 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667139_uploaded_image1_1711815054.jpg"
"1739917822-92","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfant basin et brodé","10 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4667136_uploaded_image1_1711814665.jpg"
"1739917822-93","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4659704_uploaded_image1_1711412034.jpg"
"1739917822-94","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble robe enfants","5 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4659695_uploaded_image1_1711411505.jpg"
"1739917822-95","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","5 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4659699_uploaded_image1_1711411751.jpg"
"1739917822-96","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfants","5 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4659694_uploaded_image1_1711411367.jpg"
"1739917822-97","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalons enfant","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4659691_uploaded_image1_1711411286.jpg"
"1739917822-98","https://sn.coinafrique.com/categorie/vetements-enfants","Robe Turquie  enfants","7 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg"
"1739917822-99","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","6 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651640_uploaded_image1_1710950622.jpg"
"1739917822-100","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 3 pièces  enfants","20 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651598_uploaded_image1_1710949536.jpg"
"1739917822-101","https://sn.coinafrique.com/categorie/vetements-enfants","Vetements enfant","10 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg"
"1739917822-102","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","13 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4645145_uploaded_image1_1710608095.jpg"
"1739917822-103","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble  enfants","13 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4643810_uploaded_image1_1710528700.jpg"
"1739917822-104","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","5 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg"
"1739917822-105","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","4 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4686597_uploaded_image1_1712843301.jpg"
"1739917822-106","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","3 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4686588_uploaded_image1_1712843043.jpg"
"1739917822-107","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","1 700CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4686576_uploaded_image1_1712842903.jpg"
"1739917822-108","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","1 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4686563_uploaded_image1_1712842706.jpg"
"1739917822-109","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","18 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4639600_uploaded_image1_1710311876.jpg"
"1739917822-110","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","15 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4639590_uploaded_image1_1710311581.jpg"
"1739917822-111","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","9 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg"
"1739917822-112","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","20 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4676613_uploaded_image1_1712271072.jpg"
"1739917822-113","https://sn.coinafrique.com/categorie/vetements-enfants","Silip enfants","2 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4672209_uploaded_image1_1712088527.jpg"
"1739917822-114","https://sn.coinafrique.com/categorie/vetements-enfants","Pack Jelleba pour enfant","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4655936_uploaded_image1_1711198926.jpg"
"1739917822-115","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","5 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4608935_uploaded_image1_1708714886.jpg"
"1739917822-116","https://sn.coinafrique.com/categorie/vetements-enfants","Robe femme","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg"
"1739917822-117","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fille","15 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg"
"1739917822-118","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg"
"1739917822-119","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4600864_uploaded_image1_1708347454.jpg"
"1739917822-120","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg"
"1739917822-121","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","12 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg"
"1739917822-122","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg"
"1739917822-123","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg"
"1739917822-124","https://sn.coinafrique.com/categorie/vetements-enfants","Tenue anniversaire enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg"
"1739917822-125","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfant","15 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg"
"1739917822-126","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg"
"1739917822-127","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble filles","5 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg"
"1739917822-128","https://sn.coinafrique.com/categorie/vetements-enfants","Coffret naissance","15 000CFA","Sipres, Dakar, Sénégal","https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg"
"1739917822-129","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","9 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg"
"1739917822-130","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère","3 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg"
"1739917822-131","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon friperie enfants","3 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg"
"1739917822-132","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon friperie enfants","3 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg"
